cod_sku,claim_type,claim_text
5J8P2X,descricao,Malbec Club Intenso Desodorante Colônia com perfil amadeirado-aromático e notas vibrantes.
5J8P2X,como_usar,Aplicar generosamente nas regiões corporais após higienização diária.
5J8P2X,beneficios,Fixação intensa ideal para momentos sociais e uso noturno.
5J8P2X,restricoes,Uso externo. Não aplicar em pele sensibilizada ou com dermatites.
2M7K4F,publico_alvo,Homens sofisticados que buscam uma fragrância fresca e contemporânea.
2M7K4F,descricao,"Zaad Eau de Parfum com notas cítricas, aquáticas e base amadeirada moderna."
2M7K4F,como_usar,"Borrife sobre pontos de pulsação após o banho, sem esfregar."
2M7K4F,beneficios,Fragrância vibrante com excelente projeção e sensação de frescor prolongado.
2M7K4F,restricoes,Produto inflamável. Manter longe de fontes de calor e chamas.
H3L9Q1,publico_alvo,Homens dinâmicos que apreciam fragrâncias aquáticas e energizantes.
H3L9Q1,descricao,"Quasar Deep Blue Desodorante Colônia com acordes marinhos, cítricos e amadeirados."
H3L9Q1,como_usar,"Aplicar sobre pele limpa e seca, principalmente tórax e região cervical."
H3L9Q1,beneficios,Sensação refrescante imediata com fragrância masculina de longa duração.
H3L9Q1,restricoes,Evitar contato com olhos. Uso externo apenas.
8V4C6N,publico_alvo,Homens que valorizam conexão com a natureza e fragrâncias amadeiradas verdes.
8V4C6N,descricao,"Arbo Desodorante Colônia inspirado na floresta com notas de madeira, musgo e especiarias."
8V4C6N,como_usar,"Pulverizar após o banho em pulsos, pescoço e tórax."
8V4C6N,beneficios,Fragrância envolvente com fixação equilibrada e perfil aromático natural.
8V4C6N,restricoes,Não aplicar sobre pele lesionada. Manter fora do alcance de crianças.
P1T8R5,publico_alvo,"Homens jovens que buscam fragrância adocicada, vibrante e sedutora."
P1T8R5,descricao,"Egeo Bomb Black Desodorante Colônia com notas gourmand, especiadas e amadeiradas."
P1T8R5,como_usar,Aplicar sobre pele limpa em pontos de pulsação para melhor fixação.
P1T8R5,beneficios,Fragrância marcante e jovem com boa projeção e personalidade intensa.
P1T8R5,restricoes,Uso externo. Suspender uso em caso de irritação cutânea.
6D2W9K,publico_alvo,Homens que preferem fragrâncias ousadas com perfil amadeirado-especiado.
6D2W9K,descricao,"Clash Desodorante Colônia com acordes intensos de madeira, couro e especiarias."
6D2W9K,como_usar,"Borrife sobre pele seca após banho, evitando áreas sensibilizadas."
6D2W9K,beneficios,Personalidade olfativa forte com fixação prolongada para uso diário.
6D2W9K,restricoes,Produto inflamável. Não ingerir. Uso externo.
8K2F6Q,publico_alvo,Mulheres sofisticadas que buscam uma fragrância floral elegante para ocasiões especiais.
8K2F6Q,descricao,"Lily Eau de Parfum com bouquet de flores brancas, jasmim e acordes amadeirados suaves."
8K2F6Q,como_usar,"Aplicar em pontos de pulsação: pulsos, pescoço e atrás das orelhas."
8K2F6Q,beneficios,"Alta fixação ideal para ocasiões noturnas, com evolução floral sofisticada e longa permanência."
8K2F6Q,restricoes,Uso externo. Evitar contato com olhos e mucosas.
D1W5N9,publico_alvo,Mulheres que apreciam fragrâncias florais delicadas e femininas.
D1W5N9,descricao,"Lily Gardênia Eau de Parfum com destaque para gardênia, flores brancas e musk suave."
D1W5N9,como_usar,Borrife sobre pele hidratada em regiões de pulsação para intensificar a fixação noturna.
D1W5N9,beneficios,Fragrância floral envolvente com alta fixação perfeita para eventos e encontros noturnos.
D1W5N9,restricoes,Produto inflamável. Não aplicar sobre pele irritada.
6P8H3A,publico_alvo,Mulheres jovens que buscam fragrância vibrante e romântica.
6P8H3A,descricao,"Floratta Red Desodorante Colônia com notas frutadas, florais e acentos adocicados."
6P8H3A,como_usar,Aplicar sobre pele limpa após o banho em pulsos e pescoço.
6P8H3A,beneficios,Fragrância feminina e sedutora com boa projeção para o dia a dia.
6P8H3A,restricoes,Uso externo. Manter fora do alcance de crianças.
Y4C2L7,publico_alvo,"Mulheres que preferem fragrâncias frescas, florais e levemente cítricas."
Y4C2L7,descricao,"Floratta Blue Desodorante Colônia com acordes aquáticos, florais e frutados."
Y4C2L7,como_usar,Pulverizar sobre pele seca em pontos estratégicos de fixação.
Y4C2L7,beneficios,Sensação de frescor duradouro com perfil feminino e elegante.
Y4C2L7,restricoes,Evitar contato com olhos. Suspender uso em caso de alergia.
1M9T5B,publico_alvo,Mulheres modernas que buscam uma assinatura olfativa marcante e empoderada.
1M9T5B,descricao,"Her Code Eau de Parfum com notas florientais, frutadas e base amadeirada sensual."
1M9T5B,como_usar,Aplicar generosamente em pontos de pulsação antes de sair para a noite.
1M9T5B,beneficios,"Alta fixação noturna com fragrância intensa, sofisticada e de longa permanência."
1M9T5B,restricoes,Produto inflamável. Uso externo. Não ingerir.
5X3R8K,publico_alvo,Mulheres que apreciam fragrâncias gourmand e envolventes.
5X3R8K,descricao,"Coffee Woman Seduction Desodorante Colônia com notas de café, baunilha e flores."
5X3R8K,como_usar,Aplicar sobre pele limpa em regiões de pulsação.
5X3R8K,beneficios,Fragrância sedutora e adocicada com boa fixação para momentos especiais.
5X3R8K,restricoes,Uso externo. Evitar contato com mucosas.
G7Q2D4,publico_alvo,Mulheres que valorizam perfumaria sofisticada com perfil floral branco.
G7Q2D4,descricao,"Elysée Blanc Eau de Parfum com acordes de flores brancas, almíscar e madeira clara."
G7Q2D4,como_usar,"Borrife em pulsos, pescoço e decote após hidratação corporal."
G7Q2D4,beneficios,Elegância olfativa refinada com fixação prolongada e projeção moderada.
G7Q2D4,restricoes,Produto inflamável. Não aplicar em pele lesionada.
N6A1V8,publico_alvo,Mulheres que buscam fragrância sensual e misteriosa para ocasiões especiais.
N6A1V8,descricao,"Glamour Secrets Black Desodorante Colônia com notas orientais, florais e amadeiradas."
N6A1V8,como_usar,Aplicar sobre pele limpa e seca em pontos de pulsação.
N6A1V8,beneficios,Fragrância marcante e sedutora com boa duração.
N6A1V8,restricoes,Uso externo. Manter ao abrigo de calor excessivo.
2C8L4P,publico_alvo,Mulheres jovens que preferem fragrâncias docemente frutadas e divertidas.
2C8L4P,descricao,"Egeo Dolce Desodorante Colônia com notas frutadas, florais e acentos gourmand."
2C8L4P,como_usar,Pulverizar após banho em pulsos e pescoço.
2C8L4P,beneficios,Fragrância jovem e vibrante com sensação refrescante.
2C8L4P,restricoes,Evitar contato com olhos. Uso externo.
9H5W1T,publico_alvo,Mulheres que apreciam perfumaria artesanal com inspiração botânica.
9H5W1T,descricao,"Botica 214 Peônia e Apricot Eau de Parfum com peônia, damasco e flores delicadas."
9H5W1T,como_usar,Aplicar em pontos de pulsação para melhor evolução da fragrância.
9H5W1T,beneficios,Perfil floral-frutado elegante com fixação equilibrada.
9H5W1T,restricoes,Produto inflamável. Uso externo apenas.
24A51X,publico_alvo,Pessoas que buscam hidratação corporal leve com fragrância suave e agradável.
24A51X,descricao,Loção hidratante Cuide-se Bem Nuvem com textura aerada e perfume delicado de algodão.
24A51X,como_usar,"Aplicar sobre a pele limpa e seca após o banho, massageando até completa absorção."
24A51X,beneficios,"Hidratação por até 48 horas, fórmula vegana e textura de rápida absorção sem oleosidade."
24A51X,restricoes,Uso externo. Evitar contato com olhos e mucosas.
K8M2Q1,publico_alvo,Pessoas que apreciam sabonete cremoso com fragrância frutada e envolvente.
K8M2Q1,descricao,Sabonete em barra Cuide-se Bem Cereja com fórmula cremosa e perfume de cereja doce.
K8M2Q1,como_usar,Espuma o sabonete nas mãos ou na esponja e aplique sobre pele molhada. Enxágue bem.
K8M2Q1,beneficios,Limpeza suave que respeita a barreira cutânea com fragrância duradoura.
K8M2Q1,restricoes,"Uso externo. Em caso de irritação, suspenda o uso."
9P3W7C,publico_alvo,Pessoas que desejam pele hidratada com fragrância gourmand e acolhedora.
9P3W7C,descricao,Loção hidratante Cuide-se Bem Deleite com notas de chocolate branco e avelã.
9P3W7C,como_usar,"Espalhar generosamente pelo corpo após o banho, massageando até absorver."
9P3W7C,beneficios,Hidratação intensa com fórmula vegana e perfume adocicado de longa duração.
9P3W7C,restricoes,Uso externo. Não aplicar sobre pele lesionada.
B7F4L9,publico_alvo,Pessoas com pele sensível que buscam hidratação suave e perfumada.
B7F4L9,descricao,Loção Cuide-se Bem Rosa e Algodão com textura leve e fragrância floral delicada.
B7F4L9,como_usar,"Aplicar diariamente sobre pele limpa, especialmente após banho ou exposição ao sol."
B7F4L9,beneficios,"Fórmula hipoalergênica desenvolvida para pele sensível, com hidratação de 48 horas."
B7F4L9,restricoes,Uso externo. Suspender uso em caso de reação alérgica.
T2N8H4,publico_alvo,Pessoas que apreciam fragrâncias tropicais e hidratação diária.
T2N8H4,descricao,Loção hidratante Cuide-se Bem Beijinho com perfume de coco e caramelo.
T2N8H4,como_usar,Massagear sobre o corpo todo após o banho até completa absorção.
T2N8H4,beneficios,Hidratação prolongada com textura não oleosa e fragrância envolvente.
T2N8H4,restricoes,Uso externo. Evitar contato com olhos.
Z5C1R8,publico_alvo,Pessoas que buscam firmeza corporal com hidratação nutritiva.
Z5C1R8,descricao,"Loção firmadora Nativa SPA Quinoa com quinoa, manteiga de karité e óleo de macadâmia."
Z5C1R8,como_usar,"Aplicar com movimentos ascendentes sobre pele limpa, focando braços, coxas e abdômen."
Z5C1R8,beneficios,Ação firmadora com hidratação profunda e textura sedosa enriquecida com ativos naturais.
Z5C1R8,restricoes,Uso externo. Não ingerir. Manter fora do alcance de crianças.
4W6J2P,publico_alvo,Pessoas que preferem sabonete líquido cremoso com fragrância sofisticada.
4W6J2P,descricao,Sabonete líquido Nativa SPA Orquídea Noire com fórmula cremosa e perfume floral intenso.
4W6J2P,como_usar,"Aplicar na pele molhada, massagear até formar espuma e enxaguar abundantemente."
4W6J2P,beneficios,Limpeza delicada com fragrância envolvente e sensação de pele macia.
4W6J2P,restricoes,Uso externo. Evitar contato com olhos.
M9D3K7,publico_alvo,Consumidores conscientes que utilizam refil para reduzir resíduos.
M9D3K7,descricao,Refil de sabonete líquido Nativa SPA Orquídea Noire para reabastecer embalagem original.
M9D3K7,como_usar,Despejar o refil na embalagem Nativa SPA Orquídea Noire e utilizar normalmente.
M9D3K7,beneficios,Mesma fórmula cremosa e fragrância Orquídea Noire com embalagem sustentável.
M9D3K7,restricoes,Uso externo. Manter refil fechado até o momento de uso.
X1Q8V3,publico_alvo,Homens e mulheres fãs da fragrância Malbec que buscam higiene perfumada.
X1Q8V3,descricao,Sabonete em barra Malbec com essência amadeirada característica da linha.
X1Q8V3,como_usar,"Espuma sobre pele molhada, massageie e enxágue completamente."
X1Q8V3,beneficios,Limpeza eficaz com perfume marcante da linha Malbec.
X1Q8V3,restricoes,Uso externo. Evitar contato com mucosas.
7H5A2E,publico_alvo,Mulheres que desejam hidratação corporal com a fragrância icônica Lily.
7H5A2E,descricao,Loção hidratante Lily com perfume floral sofisticado e textura sedosa.
7H5A2E,como_usar,"Aplicar diariamente sobre pele limpa após o banho, massageando suavemente."
7H5A2E,beneficios,Hidratação prolongada com fragrância elegante; fórmula suave indicada também para pele sensível.
7H5A2E,restricoes,Uso externo. Suspender uso em caso de irritação.
F3P9W2,publico_alvo,Mulheres com cabelos cacheados ou ondulados que buscam definição e nutrição.
F3P9W2,descricao,Shampoo Match Ciência das Curvas com tecnologia específica para cabelos com curvatura.
F3P9W2,como_usar,"Aplicar nos cabelos molhados, massagear o couro cabeludo e enxaguar. Repita se necessário."
F3P9W2,beneficios,Limpeza equilibrada que preserva a forma dos cachos e reduz o frizz.
F3P9W2,restricoes,Evitar contato com os olhos. Uso externo.
L6K1C8,publico_alvo,Pessoas com cabelos oleosos ou mistos que precisam de controle de oleosidade.
L6K1C8,descricao,Shampoo Match Oleosidade Controlada com agentes seborreguladores e limpeza profunda.
L6K1C8,como_usar,Massagear nos cabelos molhados focando no couro cabeludo. Enxágue abundantemente.
L6K1C8,beneficios,Reduz a oleosidade excessiva mantendo leveza e frescor por mais tempo.
L6K1C8,restricoes,Uso externo. Evitar contato com olhos.
2Y8N4T,publico_alvo,Pessoas com cabelos lisos que desejam prolongar o efeito liso e alinhado.
2Y8N4T,descricao,Shampoo Match Liso Prolongado com tecnologia anti-umidade e alinhamento dos fios.
2Y8N4T,como_usar,"Aplicar nos cabelos molhados, massagear e enxaguar. Use regularmente."
2Y8N4T,beneficios,"Prolonga o efeito liso, reduz volume indesejado e facilita a escovação."
2Y8N4T,restricoes,Evitar contato com olhos. Uso externo.
R5B7Q3,publico_alvo,Cabelos ressecados ou danificados que necessitam de nutrição profunda.
R5B7Q3,descricao,Shampoo Match Nutrição Regeneradora com ativos nutritivos para reconstrução capilar.
R5B7Q3,como_usar,Massagear nos cabelos molhados do comprimento às pontas. Enxágue bem.
R5B7Q3,beneficios,"Nutrição intensa que devolve maciez, brilho e vitalidade aos fios danificados."
R5B7Q3,restricoes,Uso externo. Evitar contato com olhos.
9C4M1H,publico_alvo,Cabelos ressecados que precisam de condicionamento nutritivo complementar.
9C4M1H,descricao,Condicionador Match Nutrição Regeneradora com fórmula rica em ativos reparadores.
9C4M1H,como_usar,"Aplicar nos cabelos limpos e úmidos, do meio às pontas. Deixe agir 1-3 min e enxágue."
9C4M1H,beneficios,Desembaraço imediato com nutrição profunda e proteção contra ressecamento.
9C4M1H,restricoes,Evitar contato com olhos. Uso externo.
H8Q3N1,publico_alvo,Homens com caspa ou descamação no couro cabeludo que buscam limpeza profunda.
H8Q3N1,descricao,Shampoo esfoliante anticaspa Malbec com partículas esfoliantes e zinco piroitiona para combate à caspa.
H8Q3N1,como_usar,"Aplicar no couro cabeludo molhado, massagear por 2 minutos enfatizando a esfoliação e enxaguar."
H8Q3N1,beneficios,"Ação anticaspa com esfoliação do couro cabeludo, removendo descamação e oleosidade excessiva."
H8Q3N1,restricoes,Uso externo. Evitar contato com olhos. Não utilizar em couro cabeludo lesionado.
V2L9D6,publico_alvo,Homens e mulheres com queda de cabelo ou afinamento capilar.
V2L9D6,descricao,Shampoo antiqueda Malbec formulado para fortalecer os fios e reduzir a queda de cabelo.
V2L9D6,como_usar,Massagear no couro cabeludo molhado por 2-3 minutos. Enxágue e repita se desejar.
V2L9D6,beneficios,"Fortalece a fibra capilar, combate a queda de cabelo e estimula a sensação de densidade."
V2L9D6,restricoes,Uso externo. Evitar contato com olhos. Resultados variam conforme uso contínuo.
A8T3K5,publico_alvo,Pessoas com cabelos cacheados que buscam definição e hidratação acessível.
A8T3K5,descricao,Shampoo Cuide-se Bem Feira Cachos de Uva com extrato de uva e fórmula para cachos.
A8T3K5,como_usar,"Aplicar nos cabelos molhados, massagear e enxaguar. Ideal para uso diário."
A8T3K5,beneficios,"Define cachos com leveza, hidratação e perfume frutado agradável."
A8T3K5,restricoes,Evitar contato com olhos. Uso externo.
3G7P2W,publico_alvo,Cabelos oleosos ou com buildup que precisam de limpeza detoxificante.
3G7P2W,descricao,Shampoo Cuide-se Bem Feira Vinagre de Framboesa com vinagre de framboesa e limpeza profunda.
3G7P2W,como_usar,Massagear no couro cabeludo e comprimento dos cabelos molhados. Enxágue bem.
3G7P2W,beneficios,"Remove impurezas e excesso de oleosidade, deixando fios leves e brilhantes."
3G7P2W,restricoes,Uso externo. Evitar contato com olhos.
E4N8J1,publico_alvo,Cabelos ressecados ou danificados que buscam nutrição com óleo de coco.
E4N8J1,descricao,Shampoo Cuide-se Bem Feira Óleo de Coco com óleo de coco e fórmula nutritiva.
E4N8J1,como_usar,"Aplicar nos cabelos molhados, massagear e enxaguar abundantemente."
E4N8J1,beneficios,Nutrição intensa com óleo de coco que devolve maciez e brilho aos fios.
E4N8J1,restricoes,Evitar contato com olhos. Uso externo.
